Category,Sub-category,Model Name,Model ID,Min Days,Max Days,Rate,Period
Aerial Work Platforms,Articulated Diesel Boom Lifts,Genie Z-45/25J RT,genie-z-45/25j-rt,1,7,700.00,Daily
Aerial Work Platforms,Articulated Diesel Boom Lifts,Genie Z-45/25J RT,genie-z-45/25j-rt,8,14,"2,000.00",Weekly
Aerial Work Platforms,Articulated Diesel Boom Lifts,Genie Z-45/25J RT,genie-z-45/25j-rt,15,999,"3,500.00",Monthly
Aerial Work Platforms,Articulated Diesel Boom Lifts,JLG 450AJ,jlg-450aj,1,7,700.00,Daily
Aerial Work Platforms,Articulated Diesel Boom Lifts,JLG 450AJ,jlg-450aj,8,14,"2,000.00",Weekly
Aerial Work Platforms,Articulated Diesel Boom Lifts,JLG 450AJ,jlg-450aj,15,999,"3,500.00",Monthly
Aerial Work Platforms,Articulated Diesel Boom Lifts,Genie Z-62/40,genie-z-62/40,1,7,800.00,Daily
Aerial Work Platforms,Articulated Diesel Boom Lifts,Genie Z-62/40,genie-z-62/40,8,14,"2,500.00",Weekly
Aerial Work Platforms,Articulated Diesel Boom Lifts,Genie Z-62/40,genie-z-62/40,15,999,"5,000.00",Monthly
Aerial Work Platforms,Articulated Diesel Boom Lifts,JLG 600AJ,jlg-600aj,1,7,800.00,Daily
Aerial Work Platforms,Articulated Diesel Boom Lifts,JLG 600AJ,jlg-600aj,8,14,"2,500.00",Weekly
Aerial Work Platforms,Articulated Diesel Boom Lifts,JLG 600AJ,jlg-600aj,15,999,"5,000.00",Monthly
Aerial Work Platforms,Articulated Diesel Boom Lifts,Genie Z-80/60,genie-z-80/60,1,7,"1,000.00",Daily
Aerial Work Platforms,Articulated Diesel Boom Lifts,Genie Z-80/60,genie-z-80/60,8,14,"3,000.00",Weekly
Aerial Work Platforms,Articulated Diesel Boom Lifts,Genie Z-80/60,genie-z-80/60,15,999,"7,500.00",Monthly
Aerial Work Platforms,Articulated Diesel Boom Lifts,JLG 800AJ,jlg-800aj,1,7,"1,000.00",Daily
Aerial Work Platforms,Articulated Diesel Boom Lifts,JLG 800AJ,jlg-800aj,8,14,"3,000.00",Weekly
Aerial Work Platforms,Articulated Diesel Boom Lifts,JLG 800AJ,jlg-800aj,15,999,"7,500.00",Monthly
Aerial Work Platforms,Telescopic Diesel Boom Lifts,Genie S-60 XC,genie-s-60-xc,1,7,800.00,Daily
Aerial Work Platforms,Telescopic Diesel Boom Lifts,Genie S-60 XC,genie-s-60-xc,8,14,"2,500.00",Weekly
Aerial Work Platforms,Telescopic Diesel Boom Lifts,Genie S-60 XC,genie-s-60-xc,15,999,"5,000.00",Monthly
Aerial Work Platforms,Telescopic Diesel Boom Lifts,JLG 660SJ,jlg-660sj,1,7,850.00,Daily
Aerial Work Platforms,Telescopic Diesel Boom Lifts,JLG 660SJ,jlg-660sj,8,14,"2,750.00",Weekly
Aerial Work Platforms,Telescopic Diesel Boom Lifts,JLG 660SJ,jlg-660sj,15,999,"5,500.00",Monthly
Aerial Work Platforms,Telescopic Diesel Boom Lifts,Genie S-85 XC,genie-s-85-xc,1,7,"1,100.00",Daily
Aerial Work Platforms,Telescopic Diesel Boom Lifts,Genie S-85 XC,genie-s-85-xc,8,14,"3,250.00",Weekly
Aerial Work Platforms,Telescopic Diesel Boom Lifts,Genie S-85 XC,genie-s-85-xc,15,999,"7,500.00",Monthly
Aerial Work Platforms,Telescopic Diesel Boom Lifts,JLG 860SJ,jlg-860sj,1,7,"1,200.00",Daily
Aerial Work Platforms,Telescopic Diesel Boom Lifts,JLG 860SJ,jlg-860sj,8,14,"4,000.00",Weekly
Aerial Work Platforms,Telescopic Diesel Boom Lifts,JLG 860SJ,jlg-860sj,15,999,"9,000.00",Monthly
Aerial Work Platforms,Telescopic Diesel Boom Lifts,Genie SX-105 XC,genie-sx-105-xc,1,7,"1,400.00",Daily
Aerial Work Platforms,Telescopic Diesel Boom Lifts,Genie SX-105 XC,genie-sx-105-xc,8,14,"4,500.00",Weekly
Aerial Work Platforms,Telescopic Diesel Boom Lifts,Genie SX-105 XC,genie-sx-105-xc,15,999,"12,000.00",Monthly
Aerial Work Platforms,Telescopic Diesel Boom Lifts,JLG 1200SJP,jlg-1200sjp,1,7,"1,600.00",Daily
Aerial Work Platforms,Telescopic Diesel Boom Lifts,JLG 1200SJP,jlg-1200sjp,8,14,"5,000.00",Weekly
Aerial Work Platforms,Telescopic Diesel Boom Lifts,JLG 1200SJP,jlg-1200sjp,15,999,"13,000.00",Monthly
Aerial Work Platforms,Electric Boom Lifts,Genie Z-45 DC,genie-z-45-dc,1,7,700.00,Daily
Aerial Work Platforms,Electric Boom Lifts,Genie Z-45 DC,genie-z-45-dc,8,14,"2,000.00",Weekly
Aerial Work Platforms,Electric Boom Lifts,Genie Z-45 DC,genie-z-45-dc,15,999,"3,500.00",Monthly
Aerial Work Platforms,Electric Boom Lifts,JLG E450AJ,jlg-e450aj,1,7,700.00,Daily
Aerial Work Platforms,Electric Boom Lifts,JLG E450AJ,jlg-e450aj,8,14,"2,000.00",Weekly
Aerial Work Platforms,Electric Boom Lifts,JLG E450AJ,jlg-e450aj,15,999,"3,500.00",Monthly
Aerial Work Platforms,Electric Boom Lifts,Genie Z-60 DC,genie-z-60-dc,1,7,700.00,Daily
Aerial Work Platforms,Electric Boom Lifts,Genie Z-60 DC,genie-z-60-dc,8,14,"2,000.00",Weekly
Aerial Work Platforms,Electric Boom Lifts,Genie Z-60 DC,genie-z-60-dc,15,999,"4,000.00",Monthly
Aerial Work Platforms,Electric Boom Lifts,JLG E600J,jlg-e600j,1,7,700.00,Daily
Aerial Work Platforms,Electric Boom Lifts,JLG E600J,jlg-e600j,8,14,"2,000.00",Weekly
Aerial Work Platforms,Electric Boom Lifts,JLG E600J,jlg-e600j,15,999,"4,000.00",Monthly
Aerial Work Platforms,Electric Boom Lifts,Genie Z-80 DC,genie-z-80-dc,1,7,700.00,Daily
Aerial Work Platforms,Electric Boom Lifts,Genie Z-80 DC,genie-z-80-dc,8,14,"2,000.00",Weekly
Aerial Work Platforms,Electric Boom Lifts,Genie Z-80 DC,genie-z-80-dc,15,999,"4,000.00",Monthly
Aerial Work Platforms,Electric Boom Lifts,Genie Z-40/23N,genie-z-40/23n,1,7,700.00,Daily
Aerial Work Platforms,Electric Boom Lifts,Genie Z-40/23N,genie-z-40/23n,8,14,"2,000.00",Weekly
Aerial Work Platforms,Electric Boom Lifts,Genie Z-40/23N,genie-z-40/23n,15,999,"3,500.00",Monthly
